,wavelength,n_para,n_ver,kappa_para,kappa_ver
0,inf,3.1543303568269447,3.3324765565567,0.0,0.0
1,158974.35897435897,3.1543303568269447,3.33252156782218,0.0,0.0
2,80000.0,3.15434620801205,3.33253657144224,0.0,0.0
3,53218.88412017167,3.1543937610894424,3.3325815818971334,0.0,0.0
4,39871.38263665595,3.15442546274278,3.332656597971054,0.0,0.0
5,31876.60668380463,3.154473014625422,3.3327466150309117,0.0,0.0
6,26609.442060085836,3.1545522661702723,3.332866633995426,0.0,0.0
7,22794.117647058825,3.1546315157241427,3.332986648638125,0.0,0.0
8,19935.691318327976,3.154710763287183,3.33315166171598,0.0,0.0
9,17739.62804005722,3.1548058577351474,3.33333166666625,0.0,0.0
10,15958.815958815958,3.154916797635082,3.333526661060325,0.0,0.0
11,14502.923976608185,3.1550435813154785,3.333736642267952,0.0,0.0
12,13290.460878885317,3.155186206866403,3.3339616074574105,0.0,0.0
13,12277.227722772277,3.155328825970441,3.334231545648862,0.0,0.0
14,11397.058823529413,3.155503129454953,3.334486467209006,0.0,0.0
15,10634.648370497429,3.1556774233118317,3.3347863499780614,0.0,0.0
16,9967.845659163988,3.1558675510863887,3.3351011978649168,0.0,0.0
17,9386.828160484481,3.156057667407236,3.335460987629746,0.0,0.0
18,8863.473909935668,3.1562794553081006,3.335805749740233,0.0,0.0
19,8395.396073121192,3.156501227625296,3.3361954379202663,0.0,0.0
20,7979.407979407979,3.1567388235329195,3.3366000659353827,0.0,0.0
21,7598.039215686274,3.1569922394583108,3.337019628351023,0.0,0.0
22,7251.461988304092,3.15722979841506,3.3374691009805617,0.0,0.0
23,6935.123042505593,3.1575148455708013,3.3379185130856626,0.0,0.0
24,6648.793565683646,3.1577998669960072,3.33841279652472,0.0,0.0
25,6381.88368502316,3.158100695038079,3.3389219817180513,0.0,0.0
26,6135.576447303316,3.1584014944272045,3.3394760068010667,0.0,0.0
27,5910.390848427073,3.1587180944174174,3.34,0.0,0.0
28,5698.529411764706,3.159050490258109,3.3405837813172714,0.0,0.0
29,5501.330967169477,3.1593986769637032,3.3411824254296563,0.0,0.0
30,5317.3241852487145,3.159762649314027,3.34179592434966,0.0,0.0
31,5147.364051473641,3.1601424018547015,3.3424242698975246,0.0,0.0
32,4985.926819461198,3.1605062885556805,3.3430824099923115,0.0,0.0
33,4834.307992202729,3.160901770064992,3.3437703270410184,0.0,0.0
34,4693.414080242241,3.16131301835171,3.3444730526646493,0.0,0.0
35,4558.823529411765,3.161740027263469,3.3451905775306736,0.0,0.0
36,4431.736954967834,3.1621669785133104,3.345952779104929,0.0,0.0
37,4311.5438108484,3.162625491581322,3.346699867033194,0.0,0.0
38,4199.119539451405,3.163068130786942,3.3475214711783403,0.0,0.0
39,4091.0590564170243,3.163558123379433,3.3483428737212684,0.0,0.0
40,3988.4207140559665,3.1640480400904156,3.34916407481031,0.0,0.0
41,3890.806401004079,3.1645378809551326,3.3500298506132746,0.0,0.0
42,3799.019607843137,3.1650434436196924,3.3509103240761307,0.0,0.0
43,3710.3530819868342,3.165580515482113,3.351820400916493,0.0,0.0
44,3625.730994152046,3.1661017039886765,3.3527600570276426,0.0,0.0
45,3545.8964826994566,3.1666543859410994,3.3537292675468007,0.0,0.0
46,3468.531468531469,3.1672227581905257,3.354713102487305,0.0,0.0
47,3394.470298384889,3.1678068122914316,3.355711548986295,0.0,0.0
48,3323.505762530153,3.1683907587291062,3.35670969849941,0.0,0.0
49,3256.3025210084033,3.1690061533547076,3.3577820060271932,0.0,0.0
50,3190.94184251158,3.1696214284989934,3.358853971222923,0.0,0.0
51,3128.1533804238147,3.1702365842315303,3.359970237963426,0.0,0.0
52,3068.547389260084,3.1708989261721983,3.361086133975147,0.0,0.0
53,3010.4394270453995,3.171545364644813,3.3622314019115342,0.0,0.0
54,2954.4913033118896,3.172223195174009,3.3634060117684275,0.0,0.0
55,2900.584795321637,3.1729008808974792,3.3646247933462057,0.0,0.0
56,2849.264705882353,3.1735941769545772,3.3658579886857973,0.0,0.0
57,2799.097065462754,3.174318824566934,3.3671204314666263,0.0,0.0
58,2750.6654835847385,3.175043306791263,3.3683824010940326,0.0,0.0
59,2704.471101417666,3.175783367926723,3.3697032510296805,0.0,0.0
60,2659.23225391379,3.1765389970847204,3.371038415681435,0.0,0.0
61,2615.4819658299934,3.177310183158075,3.3723878780472454,0.0,0.0
62,2573.147956007471,3.1780969148218245,3.373796081567468,0.0,0.0
63,2532.6797385620916,3.1788834517798854,3.3752036975566377,0.0,0.0
64,2492.963409730599,3.179701243827791,3.3766403421152216,0.0,0.0
65,2454.473475851148,3.18055026685635,3.378105978207315,0.0,0.0
66,2417.1539961013646,3.181383346910586,3.379600568114522,0.0,0.0
67,2381.409640868062,3.1822319211521966,3.3811536492741645,0.0,0.0
68,2346.2630085146643,3.183111685128249,3.382691236279185,0.0,0.0
