Energy,xx,yy,zz,xy,xz,yz
3.1977,5.9710,5.9710,5.9710,1.0871,1.0871,1.0871
3.2345,6.5070,6.5070,6.5070,1.3929,1.3929,1.3929
3.2712,7.5374,7.5374,7.5374,1.6140,1.6140,1.6140
3.3080,8.1277,8.1277,8.1277,1.9522,1.9522,1.9522
3.3447,8.4330,8.4330,8.4330,2.2147,2.2147,2.2147
3.3815,8.9393,8.9393,8.9393,2.3627,2.3627,2.3627
3.4182,9.2121,9.2121,9.2121,2.4487,2.4487,2.4487
3.4550,9.3102,9.3102,9.3102,2.4999,2.4999,2.4999
3.4918,10.1943,10.1943,10.1943,2.8493,2.8493,2.8493
3.5285,8.9786,8.9786,8.9786,2.6847,2.6847,2.6847
3.5653,6.6838,6.6838,6.6838,2.1049,2.1049,2.1049
3.6020,6.0664,6.0664,6.0664,1.7042,1.7042,1.7042
3.6388,6.3659,6.3659,6.3659,1.6478,1.6478,1.6478
3.6755,6.7613,6.7613,6.7613,1.6330,1.6330,1.6330
3.7123,7.0208,7.0208,7.0208,1.5855,1.5855,1.5855
3.7490,7.1522,7.1522,7.1522,1.5816,1.5816,1.5816
3.7858,7.2754,7.2754,7.2754,1.6184,1.6184,1.6184
3.8226,7.4390,7.4390,7.4390,1.6776,1.6776,1.6776
3.8593,7.6372,7.6372,7.6372,1.7543,1.7543,1.7543
3.8961,7.7000,7.7000,7.7000,1.8140,1.8140,1.8140
3.9328,7.5026,7.5026,7.5026,1.8118,1.8118,1.8118
3.9696,7.2070,7.2070,7.2070,1.7629,1.7629,1.7629
4.0063,7.0418,7.0418,7.0418,1.6872,1.6872,1.6872
4.0431,7.5018,7.5018,7.5018,1.8396,1.8396,1.8396
4.0798,8.4322,8.4322,8.4322,2.1129,2.1129,2.1129
4.1166,8.7692,8.7692,8.7692,2.1815,2.1815,2.1815
4.1534,9.4735,9.4735,9.4735,2.5217,2.5217,2.5217
4.1901,9.6302,9.6302,9.6302,2.4648,2.4648,2.4648
4.2269,9.6037,9.6037,9.6037,2.3517,2.3517,2.3517
4.2636,9.4385,9.4385,9.4385,2.1618,2.1618,2.1618
4.3004,9.2002,9.2002,9.2002,1.9396,1.9396,1.9396
4.3371,9.6286,9.6286,9.6286,2.1675,2.1675,2.1675
4.3739,9.4612,9.4612,9.4612,2.0169,2.0169,2.0169
4.4106,9.5774,9.5774,9.5774,1.9417,1.9417,1.9417
4.4474,9.5656,9.5656,9.5656,1.7993,1.7993,1.7993
4.4841,9.4617,9.4617,9.4617,1.5839,1.5839,1.5839
4.5209,10.1242,10.1242,10.1242,1.8784,1.8784,1.8784
4.5577,9.5987,9.5987,9.5987,1.0356,1.0356,1.0356
4.5944,10.2755,10.2755,10.2755,0.7661,0.7661,0.7661
4.6312,10.8671,10.8671,10.8671,0.4251,0.4251,0.4251
4.6679,11.1311,11.1311,11.1311,0.0066,0.0066,0.0066
4.7047,11.4489,11.4489,11.4489,-0.2658,-0.2658,-0.2658
4.7414,11.7617,11.7617,11.7617,-0.3744,-0.3744,-0.3744
4.7782,11.3548,11.3548,11.3548,-0.4672,-0.4672,-0.4672
4.8149,11.4065,11.4065,11.4065,-0.7362,-0.7362,-0.7362
4.8517,12.0479,12.0479,12.0479,-1.2304,-1.2304,-1.2304
4.8885,12.3184,12.3184,12.3184,-1.4836,-1.4836,-1.4836
4.9252,11.2644,11.2644,11.2644,-1.1178,-1.1178,-1.1178
4.9620,10.6784,10.6784,10.6784,-0.7603,-0.7603,-0.7603
4.9987,10.6450,10.6450,10.6450,-0.6125,-0.6125,-0.6125
5.0355,10.1787,10.1787,10.1787,-0.4098,-0.4098,-0.4098
5.0722,10.2242,10.2242,10.2242,-0.3383,-0.3383,-0.3383
5.1090,10.1880,10.1880,10.1880,-0.3119,-0.3119,-0.3119
5.1457,9.1856,9.1856,9.1856,-0.0906,-0.0906,-0.0906
5.1825,8.2329,8.2329,8.2329,0.0809,0.0809,0.0809
5.2193,8.1003,8.1003,8.1003,0.3883,0.3883,0.3883
5.2560,7.7210,7.7210,7.7210,0.4319,0.4319,0.4319
5.2928,6.8336,6.8336,6.8336,0.3931,0.3931,0.3931
5.3295,6.1124,6.1124,6.1124,0.3959,0.3959,0.3959
5.3663,5.8515,5.8515,5.8515,0.3514,0.3514,0.3514
5.4030,5.7614,5.7614,5.7614,0.3473,0.3473,0.3473
5.4398,5.6510,5.6510,5.6510,0.2496,0.2496,0.2496
5.4765,5.6311,5.6311,5.6311,0.0720,0.0720,0.0720
5.5133,5.9775,5.9775,5.9775,-0.1985,-0.1985,-0.1985
5.5501,9.0590,9.0590,9.0590,-1.4434,-1.4434,-1.4434
5.5868,10.6155,10.6155,10.6155,-1.7488,-1.7488,-1.7488
5.6236,9.5457,9.5457,9.5457,-1.7356,-1.7356,-1.7356
5.6603,9.1705,9.1705,9.1705,-1.7241,-1.7241,-1.7241
5.6971,9.2975,9.2975,9.2975,-1.7455,-1.7455,-1.7455
5.7338,9.3962,9.3962,9.3962,-1.8025,-1.8025,-1.8025
5.7706,10.1428,10.1428,10.1428,-1.6625,-1.6625,-1.6625
5.8073,9.6711,9.6711,9.6711,-1.8613,-1.8613,-1.8613
5.8441,10.0232,10.0232,10.0232,-1.8583,-1.8583,-1.8583
5.8809,10.4122,10.4122,10.4122,-1.8076,-1.8076,-1.8076
5.9176,11.1363,11.1363,11.1363,-1.7922,-1.7922,-1.7922
