,energy,n_para
0,0.0,3.512520462573848
1,0.0109,3.5125489320435097
2,0.0218,3.512620104708165
3,0.0327,3.512705510002226
4,0.0436,3.512862080981831
5,0.0545,3.5130471104156857
6,0.0655,3.513274825572289
7,0.0764,3.513545218152173
8,0.0873,3.51385827830321
9,0.0982,3.5142139946224105
10,0.1091,3.5145981278092098
11,0.12,3.515053342411748
12,0.1309,3.515522720734429
13,0.1418,3.5160489188860837
14,0.1527,3.5166176931819018
15,0.1636,3.5172290229668013
16,0.1745,3.5178828860551907
17,0.1855,3.51857925873498
18,0.1964,3.5193181157718607
19,0.2073,3.5200994304138624
20,0.2182,3.5209231743961698
21,0.2291,3.5218035152461304
22,0.24,3.5227262170086395
23,0.2509,3.523677056712207
24,0.2618,3.5246843830334655
25,0.2727,3.525733966140951
26,0.2836,3.526854122302197
27,0.2946,3.528002267572967
28,0.3055,3.52919254221132
29,0.3164,3.5304390661785967
30,0.3273,3.53172762256661
31,0.3382,3.533072317403084
32,0.3491,3.5344589402057
33,0.36,3.5359015823407756
34,0.3709,3.5373860405672435
35,0.3818,3.5389405194210317
36,0.3927,3.5405366824819087
37,0.4036,3.5421885889940983
38,0.4146,3.5438961610069786
39,0.4255,3.545645216318181
40,0.4364,3.5474779773805505
41,0.4473,3.549352053544421
42,0.4582,3.5512955382507947
43,0.4691,3.5532801747118112
44,0.48,3.5553340208762383
45,0.4909,3.557456956872423
46,0.5018,3.559648859087087
47,0.5127,3.561895562758684
48,0.5236,3.5642109926321703
49,0.5346,3.566595014856607
50,0.5455,3.569061501291341
51,0.5564,3.571610281091709
52,0.5673,3.574213200132303
53,0.5782,3.576926054589331
54,0.5891,3.5797066918953013
55,0.6,3.5825828671504585
56,0.6109,3.585554350445688
57,0.6218,3.588606972071475
58,0.6327,3.5917962080273984
59,0.6437,3.5950799712941017
60,0.6546,3.5984857926633533
61,0.6655,3.6020410880499405
62,0.6764,3.605717681682802
63,0.6873,3.609570611582491
64,0.6982,3.613613150297082
65,0.7091,3.6178446622263922
66,0.72,3.622305895420761
67,0.7309,3.6270649291127945
68,0.7418,3.6321618906651176
69,0.7527,3.6376503405357696
70,0.7637,3.6436794590084345
71,0.7746,3.6503972386577326
72,0.7855,3.6580732633450634
73,0.7964,3.6671378485134696
74,0.8073,3.678437168146277
75,0.8182,3.6936025774303327
76,0.8291,3.7169476725104635
77,0.84,3.7611317620163733
78,0.8509,3.8026530593671386
79,0.8618,3.7065114497101654
80,0.8727,3.5298473920889
81,0.8837,3.527152475445271
82,0.8946,3.583503873649309
83,0.9055,3.613460944856053
84,0.9164,3.6319966960337395
85,0.9273,3.6457235221557873
86,0.9382,3.6569796280537306
87,0.9491,3.6668242390384624
88,0.96,3.67581283527875
89,0.9709,3.6842502629436016
90,0.9818,3.6923705122861117
91,0.9928,3.7002837729017486
92,1.0037,3.7081127275205645
93,1.0146,3.715898276325659
94,1.0255,3.7237212570223353
95,1.0364,3.731594833311891
96,1.0473,3.7395989089740627
97,1.0582,3.7477193064582623
98,1.0691,3.756021831672441
99,1.08,3.7645052795819
100,1.0909,3.773208184025896
101,1.1018,3.782142250101125
102,1.1128,3.7913717834050513
103,1.1237,3.8008814767103702
104,1.1346,3.810721716420657
105,1.1455,3.8209292063580564
106,1.1564,3.831501011353123
107,1.1673,3.842538223622505
108,1.1782,3.854010897753145
109,1.1891,3.866018623855813
110,1.2,3.8785822151915257
111,1.2109,3.8917605270622704
112,1.2218,3.9056241498638857
113,1.2328,3.9202678479920223
114,1.2437,3.9357591389717945
115,1.2546,3.9522145690739006
116,1.2655,3.9697606980774043
117,1.2764,3.988533565108861
118,1.2873,4.008715504996582
119,1.2982,4.030521058126356
120,1.3091,4.054207690782503
121,1.32,4.08013480169467
122,1.3309,4.108698090636498
123,1.3418,4.140458911763284
124,1.3528,4.176110630718492
125,1.3637,4.216598154911137
126,1.3746,4.263238205871213
127,1.3855,4.317858265390377
128,1.3964,4.383149552547803
129,1.4073,4.46323873437216
130,1.4182,4.564789151770318
131,1.4291,4.699340379437446
132,1.44,4.889458047720452
133,1.4509,5.187128300258722
134,1.4619,5.7387892984989
135,1.4728,6.4824006613370315
136,1.4837,6.769506565152807
137,1.4946,4.613052102767296
138,1.5055,0.7727039063972169
139,1.5164,0.07879117911868017
