Energy,xx,yy,zz,xy,xz,yz
19.6106,0.0744,0.0744,0.0983,-0.0000,0.0000,-0.0000
19.6237,0.0761,0.0761,0.1002,-0.0000,0.0000,0.0000
19.6368,0.0776,0.0776,0.1024,-0.0000,-0.0000,0.0000
19.6498,0.0787,0.0787,0.1044,-0.0000,-0.0000,0.0000
19.6629,0.0801,0.0801,0.1060,-0.0000,-0.0000,0.0000
19.6760,0.0828,0.0828,0.1085,-0.0000,-0.0000,-0.0000
19.6891,0.0849,0.0849,0.1108,-0.0000,0.0000,-0.0000
19.7022,0.0857,0.0857,0.1123,-0.0000,0.0000,-0.0000
19.7153,0.0876,0.0876,0.1155,-0.0000,-0.0000,-0.0000
19.7283,0.0896,0.0896,0.1150,-0.0000,-0.0000,-0.0000
19.7414,0.0912,0.0912,0.1141,-0.0000,-0.0000,-0.0000
19.7545,0.0944,0.0944,0.1174,-0.0000,-0.0000,-0.0000
19.7676,0.0974,0.0974,0.1199,-0.0000,-0.0000,-0.0000
19.7807,0.1003,0.1003,0.1221,-0.0000,-0.0000,0.0000
19.7937,0.1029,0.1029,0.1231,-0.0000,-0.0000,-0.0000
19.8068,0.1038,0.1038,0.1228,-0.0000,-0.0000,-0.0000
19.8199,0.1036,0.1036,0.1230,-0.0000,-0.0000,-0.0000
19.8330,0.1036,0.1036,0.1237,-0.0000,0.0000,-0.0000
19.8461,0.1043,0.1043,0.1245,-0.0000,0.0000,-0.0000
19.8592,0.1045,0.1045,0.1254,-0.0000,0.0000,-0.0000
19.8722,0.1041,0.1041,0.1270,-0.0000,-0.0000,0.0000
19.8853,0.1043,0.1043,0.1302,-0.0000,-0.0000,-0.0000
19.8984,0.1063,0.1063,0.1350,-0.0000,-0.0000,0.0000
19.9115,0.1090,0.1090,0.1394,-0.0000,-0.0000,0.0000
19.9246,0.1102,0.1102,0.1422,-0.0000,-0.0000,-0.0000
19.9377,0.1103,0.1103,0.1434,-0.0000,-0.0000,0.0000
19.9507,0.1093,0.1093,0.1425,-0.0000,-0.0000,0.0000
19.9638,0.1069,0.1069,0.1400,-0.0000,-0.0000,-0.0000
19.9769,0.1040,0.1040,0.1372,-0.0000,-0.0000,-0.0000
19.9900,0.1020,0.1020,0.1364,-0.0000,-0.0000,-0.0000
20.0031,0.1021,0.1021,0.1385,-0.0000,-0.0000,-0.0000
20.0161,0.1048,0.1048,0.1423,-0.0000,-0.0000,-0.0000
20.0292,0.1092,0.1092,0.1474,-0.0000,-0.0000,-0.0000
20.0423,0.1142,0.1142,0.1534,-0.0000,-0.0000,-0.0000
20.0554,0.1184,0.1184,0.1584,-0.0000,-0.0000,-0.0000
20.0685,0.1218,0.1218,0.1606,-0.0000,-0.0000,-0.0000
20.0816,0.1242,0.1242,0.1606,-0.0000,-0.0000,-0.0000
20.0946,0.1238,0.1238,0.1569,-0.0000,-0.0000,0.0000
20.1077,0.1229,0.1229,0.1532,-0.0000,-0.0000,0.0000
20.1208,0.1238,0.1238,0.1518,-0.0000,-0.0000,-0.0000
20.1339,0.1248,0.1248,0.1507,-0.0000,-0.0000,-0.0000
20.1470,0.1257,0.1257,0.1506,-0.0000,-0.0000,-0.0000
20.1601,0.1265,0.1265,0.1502,-0.0000,-0.0000,-0.0000
20.1731,0.1282,0.1282,0.1512,-0.0000,-0.0000,-0.0000
20.1862,0.1311,0.1311,0.1543,-0.0000,-0.0000,-0.0000
20.1993,0.1330,0.1330,0.1562,-0.0000,0.0000,0.0000
20.2124,0.1332,0.1332,0.1565,-0.0000,0.0000,-0.0000
20.2255,0.1335,0.1335,0.1550,-0.0000,0.0000,-0.0000
20.2385,0.1338,0.1338,0.1519,-0.0000,0.0000,-0.0000
20.2516,0.1347,0.1347,0.1508,-0.0000,-0.0000,-0.0000
20.2647,0.1362,0.1362,0.1519,-0.0000,-0.0000,-0.0000
20.2778,0.1374,0.1374,0.1520,-0.0000,-0.0000,-0.0000
20.2909,0.1390,0.1390,0.1521,-0.0000,-0.0000,-0.0000
20.3040,0.1413,0.1413,0.1534,-0.0000,-0.0000,-0.0000
20.3170,0.1435,0.1435,0.1555,-0.0000,-0.0000,-0.0000
20.3301,0.1452,0.1452,0.1579,-0.0000,-0.0000,-0.0000
20.3432,0.1463,0.1463,0.1599,-0.0000,-0.0000,-0.0000
20.3563,0.1465,0.1465,0.1611,-0.0000,-0.0000,-0.0000
20.3694,0.1472,0.1472,0.1620,-0.0000,0.0000,-0.0000
20.3825,0.1478,0.1478,0.1626,-0.0000,0.0000,-0.0000
20.3955,0.1480,0.1480,0.1633,-0.0000,0.0000,0.0000
20.4086,0.1488,0.1488,0.1645,-0.0000,-0.0000,0.0000
20.4217,0.1496,0.1496,0.1659,-0.0000,-0.0000,0.0000
20.4348,0.1505,0.1505,0.1670,-0.0000,-0.0000,-0.0000
20.4479,0.1524,0.1524,0.1688,-0.0000,-0.0000,-0.0000
20.4610,0.1547,0.1547,0.1713,-0.0000,0.0000,0.0000
20.4740,0.1565,0.1565,0.1733,-0.0000,-0.0000,0.0000
20.4871,0.1582,0.1582,0.1745,-0.0000,-0.0000,-0.0000
20.5002,0.1592,0.1592,0.1736,-0.0000,0.0000,-0.0000
20.5133,0.1590,0.1590,0.1718,-0.0000,0.0000,-0.0000
20.5264,0.1597,0.1597,0.1726,-0.0000,-0.0000,-0.0000
20.5394,0.1628,0.1628,0.1756,-0.0000,-0.0000,-0.0000
20.5525,0.1669,0.1669,0.1787,-0.0000,-0.0000,-0.0000
20.5656,0.1711,0.1711,0.1821,-0.0000,-0.0000,-0.0000
20.5787,0.1739,0.1739,0.1843,-0.0000,-0.0000,-0.0000
20.5918,0.1756,0.1756,0.1850,-0.0000,-0.0000,-0.0000
20.6049,0.1764,0.1764,0.1835,-0.0000,-0.0000,-0.0000
20.6179,0.1770,0.1770,0.1814,-0.0000,-0.0000,-0.0000
20.6310,0.1775,0.1775,0.1817,-0.0000,0.0000,-0.0000
20.6441,0.1780,0.1780,0.1826,-0.0000,0.0000,0.0000
20.6572,0.1784,0.1784,0.1833,-0.0000,-0.0000,0.0000
20.6703,0.1792,0.1792,0.1846,-0.0000,-0.0000,0.0000
20.6834,0.1802,0.1802,0.1867,-0.0000,-0.0000,0.0000
20.6964,0.1806,0.1806,0.1892,-0.0000,-0.0000,-0.0000
20.7095,0.1808,0.1808,0.1922,-0.0000,-0.0000,-0.0000
20.7226,0.1824,0.1824,0.1953,-0.0000,-0.0000,-0.0000
20.7357,0.1849,0.1849,0.1968,-0.0000,-0.0000,-0.0000
20.7488,0.1870,0.1870,0.1972,-0.0000,-0.0000,-0.0000
20.7618,0.1886,0.1886,0.1982,-0.0000,-0.0000,-0.0000
20.7749,0.1899,0.1899,0.1999,-0.0000,-0.0000,-0.0000
20.7880,0.1913,0.1913,0.2013,-0.0000,-0.0000,0.0000
20.8011,0.1931,0.1931,0.2029,-0.0000,0.0000,-0.0000
20.8142,0.1947,0.1947,0.2045,-0.0000,0.0000,-0.0000
20.8273,0.1955,0.1955,0.2051,-0.0000,0.0000,-0.0000
20.8403,0.1962,0.1962,0.2052,-0.0000,-0.0000,0.0000
20.8534,0.1978,0.1978,0.2060,-0.0000,-0.0000,-0.0000
20.8665,0.1994,0.1994,0.2077,-0.0000,-0.0000,-0.0000
20.8796,0.2009,0.2009,0.2091,-0.0000,-0.0000,0.0000
20.8927,0.2023,0.2023,0.2095,-0.0000,-0.0000,-0.0000
20.9058,0.2027,0.2027,0.2086,-0.0000,-0.0000,-0.0000
20.9188,0.2027,0.2027,0.2083,-0.0000,-0.0000,-0.0000
20.9319,0.2039,0.2039,0.2101,-0.0000,-0.0000,-0.0000
20.9450,0.2053,0.2053,0.2127,-0.0000,-0.0000,-0.0000
20.9581,0.2067,0.2067,0.2150,-0.0000,0.0000,-0.0000
20.9712,0.2082,0.2082,0.2171,-0.0000,0.0000,-0.0000
20.9842,0.2089,0.2089,0.2187,-0.0000,0.0000,0.0000
20.9973,0.2098,0.2098,0.2203,-0.0000,-0.0000,-0.0000
21.0104,0.2116,0.2116,0.2222,-0.0000,-0.0000,-0.0000
21.0235,0.2139,0.2139,0.2243,-0.0000,-0.0000,-0.0000
21.0366,0.2152,0.2152,0.2256,-0.0000,0.0000,-0.0000
21.0497,0.2157,0.2157,0.2268,-0.0000,0.0000,-0.0000
21.0627,0.2160,0.2160,0.2285,-0.0000,-0.0000,-0.0000
21.0758,0.2164,0.2164,0.2305,-0.0000,-0.0000,-0.0000
21.0889,0.2177,0.2177,0.2328,-0.0000,-0.0000,-0.0000
21.1020,0.2193,0.2193,0.2343,-0.0000,-0.0000,-0.0000
21.1151,0.2206,0.2206,0.2352,-0.0000,-0.0000,-0.0000
21.1282,0.2223,0.2223,0.2364,-0.0000,-0.0000,-0.0000
21.1412,0.2245,0.2245,0.2378,-0.0000,-0.0000,-0.0000
21.1543,0.2271,0.2271,0.2388,-0.0000,-0.0000,-0.0000
21.1674,0.2298,0.2298,0.2394,-0.0000,-0.0000,-0.0000
21.1805,0.2324,0.2324,0.2408,-0.0000,-0.0000,-0.0000
21.1936,0.2347,0.2347,0.2427,-0.0000,-0.0000,-0.0000
21.2067,0.2369,0.2369,0.2442,-0.0000,-0.0000,-0.0000
21.2197,0.2393,0.2393,0.2463,-0.0000,-0.0000,-0.0000
21.2328,0.2413,0.2413,0.2488,-0.0000,-0.0000,-0.0000
21.2459,0.2428,0.2428,0.2511,-0.0000,-0.0000,-0.0000
21.2590,0.2438,0.2438,0.2530,-0.0000,-0.0000,-0.0000
21.2721,0.2443,0.2443,0.2544,-0.0000,-0.0000,-0.0000
21.2851,0.2433,0.2433,0.2540,-0.0000,-0.0000,-0.0000
21.2982,0.2424,0.2424,0.2534,-0.0000,-0.0000,0.0000
21.3113,0.2436,0.2436,0.2548,-0.0000,-0.0000,-0.0000
21.3244,0.2455,0.2455,0.2573,-0.0000,-0.0000,-0.0000
21.3375,0.2476,0.2476,0.2598,-0.0000,-0.0000,-0.0000
21.3506,0.2497,0.2497,0.2622,-0.0000,-0.0000,-0.0000
21.3636,0.2516,0.2516,0.2644,-0.0000,-0.0000,0.0000
21.3767,0.2526,0.2526,0.2656,-0.0000,-0.0000,0.0000
21.3898,0.2536,0.2536,0.2674,-0.0000,-0.0000,0.0000
21.4029,0.2552,0.2552,0.2703,-0.0000,-0.0000,-0.0000
21.4160,0.2566,0.2566,0.2731,-0.0000,0.0000,-0.0000
21.4291,0.2583,0.2583,0.2758,-0.0000,-0.0000,-0.0000
21.4421,0.2593,0.2593,0.2773,-0.0000,-0.0000,-0.0000
21.4552,0.2592,0.2592,0.2770,-0.0000,-0.0000,-0.0000
21.4683,0.2588,0.2588,0.2758,-0.0000,-0.0000,-0.0000
21.4814,0.2585,0.2585,0.2740,-0.0000,-0.0000,-0.0000
21.4945,0.2588,0.2588,0.2726,-0.0000,-0.0000,-0.0000
21.5075,0.2605,0.2605,0.2734,-0.0000,-0.0000,-0.0000
21.5206,0.2632,0.2632,0.2756,-0.0000,-0.0000,0.0000
21.5337,0.2655,0.2655,0.2779,-0.0000,-0.0000,-0.0000
21.5468,0.2675,0.2675,0.2801,-0.0000,-0.0000,-0.0000
21.5599,0.2696,0.2696,0.2822,-0.0000,-0.0000,-0.0000
21.5730,0.2719,0.2719,0.2843,-0.0000,-0.0000,0.0000
21.5860,0.2742,0.2742,0.2866,-0.0000,-0.0000,0.0000
21.5991,0.2767,0.2767,0.2887,-0.0000,-0.0000,-0.0000
21.6122,0.2789,0.2789,0.2903,-0.0000,-0.0000,-0.0000
21.6253,0.2802,0.2802,0.2908,-0.0000,-0.0000,0.0000
21.6384,0.2810,0.2810,0.2910,-0.0000,-0.0000,-0.0000
21.6515,0.2814,0.2814,0.2913,-0.0000,-0.0000,-0.0000
21.6645,0.2813,0.2813,0.2917,-0.0000,-0.0000,-0.0000
21.6776,0.2823,0.2823,0.2930,-0.0000,-0.0000,-0.0000
21.6907,0.2843,0.2843,0.2951,-0.0000,0.0000,-0.0000
21.7038,0.2851,0.2851,0.2962,-0.0000,-0.0000,-0.0000
21.7169,0.2852,0.2852,0.2960,-0.0000,-0.0000,-0.0000
21.7299,0.2859,0.2859,0.2969,-0.0000,-0.0000,-0.0000
21.7430,0.2879,0.2879,0.2998,-0.0000,-0.0000,-0.0000
21.7561,0.2904,0.2904,0.3036,-0.0000,-0.0000,-0.0000
21.7692,0.2923,0.2923,0.3058,-0.0000,-0.0000,-0.0000
21.7823,0.2930,0.2930,0.3060,-0.0000,-0.0000,-0.0000
21.7954,0.2939,0.2939,0.3065,-0.0000,-0.0000,-0.0000
21.8084,0.2954,0.2954,0.3081,-0.0000,-0.0000,-0.0000
21.8215,0.2967,0.2967,0.3094,-0.0000,-0.0000,-0.0000
21.8346,0.2988,0.2988,0.3110,-0.0000,-0.0000,-0.0000
21.8477,0.3014,0.3014,0.3130,-0.0000,-0.0000,-0.0000
21.8608,0.3030,0.3030,0.3145,-0.0000,0.0000,-0.0000
21.8739,0.3037,0.3037,0.3151,-0.0000,0.0000,-0.0000
21.8869,0.3047,0.3047,0.3155,-0.0000,-0.0000,-0.0000
