,wavelength,n_para,n_ver,kappa_para,kappa_ver
0,inf,2.583350537577121,2.4905220336307003,0.0,0.0
1,94656.48854961831,2.583350537577121,2.4905220336307003,0.0,0.0
2,47328.244274809156,2.583369892214431,2.490542109662071,0.0,0.0
3,31632.65306122449,2.5834086010540416,2.4905822612393274,0.0,0.0
4,23709.369024856598,2.583466663225984,2.4906424873915567,0.0,0.0
5,18960.244648318043,2.583544077425427,2.4907027120874945,0.0,0.0
6,15796.178343949046,2.5836214893052736,2.4907629353272465,0.0,0.0
7,13537.117903930131,2.583737602776257,2.4908633041578176,0.0,0.0
8,11843.36198662846,2.583853711029322,2.49096366894421,0.0,0.0
9,10535.259133389975,2.583989164063967,2.4910640296869127,0.0,0.0
10,9480.122324159021,2.5841439588382067,2.491204527934228,0.0,0.0
11,8617.095205003474,2.5843180918764626,2.49134501825821,0.0,0.0
12,7898.089171974523,2.584492213182311,2.491505568928153,0.0,0.0
13,7289.829512051735,2.584705012182241,2.4916661092530035,0.0,0.0
14,6768.558951965066,2.5849177936638528,2.4918467047553308,0.0,0.0
15,6320.081549439347,2.5851498989420323,2.492047351075015,0.0,0.0
16,5924.510272336359,2.585401322812379,2.4922680433693323,0.0,0.0
17,5575.539568345324,2.585652722234755,2.4924887161229035,0.0,0.0
18,5265.392781316348,2.585942768121522,2.4927294277558487,0.0,0.0
19,4987.93242156074,2.5862327814796564,2.4929701161466014,0.0,0.0
20,4740.061162079511,2.5865614239758545,2.4932508899025785,0.0,0.0
21,4514.015289406625,2.5868900247208035,2.493531632043195,0.0,0.0
22,4308.547602501737,2.5872379094316007,2.4938123425791283,0.0,0.0
23,4120.970422067132,2.5876050703304783,2.494113068808229,0.0,0.0
24,3949.0445859872616,2.58797217913949,2.4944538480396865,0.0,0.0
25,3790.889636196882,2.5883778704045515,2.4947745389112823,0.0,0.0
26,3645.986474566304,2.5887834980932647,2.495135266874323,0.0,0.0
27,3510.7587768969424,2.589227684078787,2.495495942693556,0.0,0.0
28,3385.203385203385,2.5896717938765907,2.495876599513686,0.0,0.0
29,3268.318397469689,2.590135131609932,2.4962571982870676,0.0,0.0
30,3159.2356687898086,2.5906176869619335,2.4966577658942364,0.0,0.0
31,3057.1992110453643,2.591100152444903,2.49707829272532,0.0,0.0
32,2962.2551361681794,2.59162111428349,2.4975187686982454,0.0,0.0
33,2872.3650683344918,2.5921612604157174,2.4979791832599405,0.0,0.0
34,2787.769784172662,2.5927012940174965,2.4984395129760495,0.0,0.0
35,2708.014850404019,2.593260495977988,2.4988997578934615,0.0,0.0
36,2632.696390658174,2.5938581302762107,2.4993999279827146,0.0,0.0
37,2561.4542449907044,2.5944556269090437,2.49989999799992,0.0,0.0
38,2494.4679139006234,2.595072253329375,2.5004199647259258,0.0,0.0
39,2430.419443355547,2.5957079959040077,2.500959815750745,0.0,0.0
40,2369.5776801070133,2.59636284059066,2.501519538200731,0.0,0.0
41,2311.7076808351976,2.5970175201565353,2.502079135439165,0.0,0.0
42,2256.596906278435,2.5977105304479173,2.502658586383688,0.0,0.0
43,2204.4444444444443,2.598422598423898,2.5032578772471683,0.0,0.0
44,2154.2738012508685,2.5991537084212624,2.503857024672136,0.0,0.0
45,2106.335994564294,2.599884612824192,2.5044959572736385,0.0,0.0
46,2060.485211033566,2.6006537639601315,2.5051347269159,0.0,0.0
47,2016.588063099691,2.601422687684568,2.5057733337235435,0.0,0.0
48,1974.5222929936308,2.602229813064173,2.506451675177481,0.0,0.0
49,1934.4773790951638,2.6030366881778675,2.5071298330960046,0.0,0.0
50,1895.734597156398,2.603862515571819,2.5078476827750125,0.0,0.0
51,1858.5131894484412,2.604726473163737,2.5085653270345585,0.0,0.0
52,1822.7252682640012,2.605590144285935,2.5092827660508887,0.0,0.0
53,1788.2895875396598,2.6064727123068065,2.510039840321265,0.0,0.0
54,1755.1309271054495,2.6073933343475435,2.510796686312932,0.0,0.0
55,1723.419041000695,2.608313631448488,2.5115732121520966,0.0,0.0
56,1692.6016926016925,2.609271929102063,2.512369399590753,0.0,0.0
57,1662.867104733807,2.6102298749343897,2.5131852299422737,0.0,0.0
58,1634.1591987348445,2.6112257658042517,2.5140206840835657,0.0,0.0
59,1606.425702811245,2.6122212769977966,2.514855860680687,0.0,0.0
60,1579.8190852337877,2.6132546756870063,2.5157305102097083,0.0,0.0
61,1553.8847117794485,2.614287665885298,2.516604855753084,0.0,0.0
62,1528.7880655899396,2.6153584840323516,2.5174987586888697,0.0,0.0
63,1504.4892016500849,2.616447973876033,2.518412198191551,0.0,0.0
64,1480.9506747880089,2.617556112101515,2.519325306505692,0.0,0.0
65,1458.1373471307618,2.6186828750346995,2.5202777624698434,0.0,0.0
66,1436.1825341672459,2.6198282386446636,2.52122985862059,0.0,0.0
67,1414.7176269252711,2.6209921785461323,2.5222212432695112,0.0,0.0
68,1393.884892086331,2.6221937380750493,2.5232122383977136,0.0,0.0
69,1373.6568073557107,2.6233947472692707,2.52422265262001,0.0,0.0
70,1354.0074252020095,2.62463330772129,2.525252462626262,0.0,0.0
71,1334.9122618150502,2.625890325204006,2.526301644697244,0.0,0.0
72,1316.4879498885232,2.627165773224065,2.5273701747072983,0.0,0.0
73,1298.4293193717278,2.628459624951466,2.5284580281270244,0.0,0.0
74,1280.859415349654,2.629790866209707,2.529565180026006,0.0,0.0
75,1263.758662861802,2.631121433913684,2.5306916050755768,0.0,0.0
76,1247.108518555768,2.6324893162176366,2.5318372775516202,0.0,0.0
77,1231.0136007147821,2.6338944549848615,2.5330021713374036,0.0,0.0
78,1215.2097216777736,2.6352988445335757,2.5341665296503306,0.0,0.0
79,1199.8064828253507,2.6367404119480553,2.5353697955130725,0.0,0.0
80,1184.7888400535066,2.6382001440375973,2.536592202148386,0.0,0.0
81,1170.1424931584409,2.63967801066721,2.537833721897477,0.0,0.0
82,1155.8538404175988,2.641192912303075,2.5390943267236055,0.0,0.0
83,1142.0151040707312,2.6427258654654286,2.540354305997492,0.0,0.0
84,1128.4011284011283,2.6442957474533744,2.541653005427767,0.0,0.0
85,1115.1079136690646,2.645864697976826,2.542970703724288,0.0,0.0
86,1102.1242556217226,2.647489376749225,2.54432702300628,0.0,0.0
87,1089.4394658232295,2.6491130591199767,2.54568261965234,0.0,0.0
88,1077.0433423086945,2.6507734720266085,2.5470571253900056,0.0,0.0
89,1065.0176071459248,2.6524705464905733,2.5484701293128786,0.0,0.0
90,1053.167997282147,2.654185374083732,2.549882350227163,0.0,0.0
91,1041.5791684166318,2.6559179204184753,2.5513329849316024,0.0,0.0
92,1030.242605516783,2.657686964260464,2.552802381697416,0.0,0.0
93,1019.1501602695816,2.6594924327773524,2.55429050814507,0.0,0.0
94,1008.2940315498455,2.6613154642018673,2.555797331558197,0.0,0.0
95,997.7470228516254,2.663174797117155,2.5573423705088842,0.0,0.0
96,987.3397563500279,2.6650515942472857,2.558906016249913,0.0,0.0
97,977.1473601260835,2.6669645666937534,2.560488234692751,0.0,0.0
98,967.1632477965836,2.668913636669422,2.562088991428674,0.0,0.0
99,957.3810994441013,2.670898725148522,2.5637277546572688,0.0,0.0
100,947.867298578199,2.6729010456805167,2.5653849613654476,0.0,0.0
101,938.4696889427081,2.6749392516466615,2.567060575833769,0.0,0.0
102,929.2565947242206,2.6769945834835003,2.5687740266516244,0.0,0.0
103,920.2226345083488,2.679104327942456,2.5705057868053904,0.0,0.0
104,911.3626341320006,2.6812310605391696,2.572255819315023,0.0,0.0
105,902.6716168013395,2.683412007128238,2.574043511675745,0.0,0.0
106,894.2092738155333,2.685609800399157,2.575868785478018,0.0,0.0
107,885.840834404915,2.6878430013674532,2.5776927667974707,0.0,0.0
108,877.6275744921792,2.690111521851836,2.579573608176359,0.0,0.0
109,869.5652173913044,2.692415272575908,2.5814724480420086,0.0,0.0
110,861.6496421374469,2.694772717688822,2.5833892467067368,0.0,0.0
111,853.8768764632971,2.697146640433182,2.5853433040894203,0.0,0.0
112,846.3008463008463,2.699574040473793,2.5873345357722877,0.0,0.0
113,838.8013258472571,2.7020362691866295,2.58934354615219,0.0,0.0
114,831.4335523669035,2.704533231446787,2.591389588618431,0.0,0.0
115,824.1940844134264,2.707064831140917,2.5934725755249466,0.0,0.0
116,817.0795993674222,2.709649423818513,2.5955924179269747,0.0,0.0
117,810.1398144518489,2.7122684232944203,2.5977297780947115,0.0,0.0
118,803.264883073136,2.714940146669904,2.599923075785128,0.0,0.0
119,796.5056526207605,2.7176460402340847,2.6021337398373667,0.0,0.0
120,789.8592267023377,2.7204043817050434,2.6043809245192993,0.0,0.0
121,783.3228048010108,2.723215011709505,2.606664535378498,0.0,0.0
122,776.8936783409561,2.726059427085184,2.6089844767648582,0.0,0.0
123,770.6171151575414,2.7289558442745094,2.6113597990319146,0.0,0.0
124,764.3940327949698,2.7319040978775226,2.6137520922994972,0.0,0.0
125,758.2706537026846,2.7349040202537274,2.616199533674754,0.0,0.0
126,752.2446008250424,2.737955441565841,2.6186828750346995,0.0,0.0
127,746.3135720734276,2.7410764308935276,2.621202014343801,0.0,0.0
128,740.4753373940044,2.7442303110344075,2.623775905065065,0.0,0.0
129,734.7712728134629,2.747453366301237,2.626385348725506,0.0,0.0
130,729.1115423061092,2.7507453535360193,2.629049257811652,0.0,0.0
131,723.5383358618276,2.7540878707840823,2.6317674669316817,0.0,0.0
132,718.0496844055823,2.757480734293533,2.634539808012018,0.0,0.0
133,712.6436781609195,2.7609599779786738,2.6373471519691902,0.0,0.0
134,707.3588134626356,2.7645071893558173,2.64022726294537,0.0,0.0
135,702.111998188098,2.768104044287353,2.6431420695830936,0.0,0.0
136,696.9424460431655,2.7718044664081196,2.6461292485439936,0.0,0.0
137,691.8484628689392,2.775553998754123,2.64918855501076,0.0,0.0
138,686.8284036778554,2.7794064114483152,2.652300887908459,0.0,0.0
139,681.8806708825956,2.783325349289946,2.6555037186944404,0.0,0.0
140,677.0406770406771,2.7873464083245914,2.6587591090582086,0.0,0.0
141,672.2324623224547,2.791451235468748,2.6621044307089083,0.0,0.0
142,667.4920600742855,2.795675231495962,2.665558102912034,0.0,0.0
143,662.8180457558263,2.7999821428002,2.669100972237656,0.0,0.0
144,658.2090344498115,2.804425074770228,2.67278880572334,0.0,0.0
145,653.6636794939378,2.8089855820770673,2.6765836450079523,1.780002179319018e-05,9.340264884837451e-05
146,649.2146596858639,2.8136630933432834,2.680503694980151,5.3311286116812797e-05,0.0002424917381577184
147,644.79226249285,2.8184925068783575,2.684529801080566,0.00010643987996226855,0.000502881360748546
148,640.429707674827,2.82345533663024,2.688624313721299,0.00019479677690481303,0.0008368592029451371
149,636.1257887446776,2.8285508798664023,2.692805524767531,0.00028283033744574976,0.001262623672210406
150,631.879331430901,2.833831357840933,2.6970545233192764,0.0004058110222633039,0.0017611805615497295
151,627.7209679052344,2.839313349740401,2.7013895545659934,0.0005459066367972686,0.0023506420942774916
152,623.585617299472,2.845030851297493,2.7058102638626234,0.000738129078547719,0.0030305155204532986
153,619.5043964828138,2.8509825009573135,2.710279428987154,0.0011048822639691271,0.003818794434744551
154,615.4762495656922,2.857131922474285,2.7148337709150963,0.0016800064297458445,0.004733254808324937
155,611.5001479435842,2.8634255816883747,2.7194177515942033,0.002462085987132849,0.005736522088551057
156,607.5750894213337,2.869845274605771,2.724068120395954,0.0034496633276271654,0.006864732882410758
157,603.7294902380836,2.8763903665967474,2.7287479900184053,0.004641233733509092,0.008098952369668943
158,599.9032414126754,2.883025567899703,2.733457413739309,0.006035326288386924,0.009456887775188098
159,596.1251862891207,2.8897332901677255,2.738196347523983,0.007647764613845567,0.010919596772899097
160,592.3944200267533,2.8965305380082076,2.7429648033485527,0.009442330968427178,0.0124864890567302
161,588.7100602953045,2.9033827084872024,2.747744606490884,0.011452158856915638,0.014157065364845267
162,585.0712465792204,2.910289690701323,2.7525540477703916,0.013641253696112545,0.015930659031204972
163,581.5044081785782,2.917234540574267,2.757357019332428,0.01604259079929489,0.017825040303235205
164,577.9538569098112,2.9242344897508996,2.7621898705824437,0.018637356269134545,0.01982122973626107
165,574.4464004447327,2.9312556576220863,2.7670166662421285,0.021441323221520564,0.021936983878893937
166,570.9812589215821,2.9383152103898693,2.771855429189582,0.024418755260256757,0.024135457894200737
167,567.557671182717,2.9454135442410734,2.7767066317673446,0.027585260534582653,0.026452200300782363
